EMB_regions,NM_regions,EBM_Stage
Pos.cingulate,PCgG_posterior_cingulate_gyrus,1
Precentral,PrG_precentral_gyrus,2
Mid. Cingulate,MCgG_middle_cingulate_gyrus,3
Brainstem,Brain_Stem,4
Thalamus,Thalamus_Proper,5
Entorhinal area,Ent_entorhinal_area,6
Cuneus,Cun_cuneus,7
Hippocampus,Hippocampus,8
Accumbens,Accumbens_Area,9
Putamen,Putamen,10
Precentral,PrG_precentral_gyrus,11
Frontal operculum,FO_frontal_operculum,12
Amygdala,Amygdala,13
Caudate,Caudate,14
Sup. Temporal,STG_superior_temporal_gyrus,15
Middle temporal,MTG_middle_temporal_gyrus,16
Calcarine,Calc_calcarine_cortex,17
Insula,PIns_posterior_insula,18
Insula,AIns_anterior_insula,18
Angular gyrus,AnG_angular_gyrus,19
Occipital fusiform,OFuG_occipital_fusiform_gyrus,20
Inf. temporal,ITG_inferior_temporal_gyrus,21
Lingual gyrus,LiG_lingual_gyrus,22
Pallidum,Pallidum,23
Precentral (medial),MPrG_precentral_gyrus_medial_segment,24
