lobes,regions,labels
DGM,Accumbens_Area,31
DGM,Amygdala,33
DGM,Pallidum,56
DGM,Putamen,38
DGM,Caudate,59
DGM,Thalamus_Proper,61
Frontal_lobe,Claustrum,97
Frontal_lobe,FO_frontal_operculum,120
Frontal_lobe,FRP_frontal_pole,122
Frontal_lobe,GRe_gyrus_rectus,126
Frontal_lobe,LOrG_lateral_orbital_gyrus,138
Frontal_lobe,MFC_medial_frontal_cortex,142
Frontal_lobe,MFG_middle_frontal_gyrus,144
Frontal_lobe,MOG_middle_occipital_gyrus,146
Frontal_lobe,MOrG_medial_orbital_gyrus,148
Frontal_lobe,MSFG_superior_frontal_gyrus_medial_segment,154
Frontal_lobe,OpIFG_opercular_part_of_the_inferior_frontal_gyrus,164
Frontal_lobe,OrIFG_orbital_part_of_the_inferior_frontal_gyrus,166
Frontal_lobe,PIns_posterior_insula,174
Frontal_lobe,PO_parietal_operculum,176
Frontal_lobe,POrG_posterior_orbital_gyrus,180
Frontal_lobe,PrG_precentral_gyrus,184
Frontal_lobe,SCA_subcallosal_area,188
Frontal_lobe,SFG_superior_frontal_gyrus,192
Frontal_lobe,SMC_supplementary_motor_cortex,194
Frontal_lobe,TrIFG_triangular_part_of_the_inferior_frontal_gyrus,206
Limbic_cortex,ACgG_anterior_cingulate_gyrus,102
Limbic_cortex,AIns_anterior_insula,104
Limbic_cortex,AOrG_anterior_orbital_gyrus,106
Limbic_cortex,Ent_entorhinal_area,118
Limbic_cortex,MCgG_middle_cingulate_gyrus,140
Limbic_cortex,PCgG_posterior_cingulate_gyrus,168
Limbic_cortex,PHG_parahippocampal_gyrus,172
Occipital_lobe,CO_central_operculum,114
Occipital_lobe,Calc_calcarine_cortex,110
Occipital_lobe,Cun_cuneus,116
Occipital_lobe,IOG_inferior_occipital_gyrus,130
Occipital_lobe,LiG_lingual_gyrus,136
Occipital_lobe,OCP_occipital_pole,158
Occipital_lobe,OFuG_occipital_fusiform_gyrus,162
Occipital_lobe,SOG_superior_occipital_gyrus,198
Parietal_lobe,AnG_angular_gyrus,108
Parietal_lobe,MPoG_postcentral_gyrus_medial_segment,150
Parietal_lobe,MPrG_precentral_gyrus_medial_segment,152
Parietal_lobe,PCu_precuneus,170
