,probe_id,gene_symbol,r,p
32362,1030058,KLK8,0.511251079787974,1.11890792197698e-39
18267,1031532,KCTD4,0.50230680568543,3.7744714633047e-38
15372,1036268,SLC22A9,0.496800641236899,3.12824556146128e-37
2981,1053623,NPPA,0.491903760143503,1.9869755276014e-36
2608,1054175,MGP,0.48853791650278,6.959433395011801e-36
23455,1022660,SLC22A10,0.477740064306504,3.5376576621920797e-34
11831,1041221,CYP26B1,0.475519103479838,7.801322887769119e-34
30780,1010756,PTPN3,0.468658989061768,8.65495513107601e-33
1661,1055289,HTR2C,0.447072505608689,1.18968600631967e-29
3169,1052927,PNMT,0.444348949682027,2.85544328069028e-29
22194,1025161,GABRE,0.437792553210426,2.2753230413225e-28
16044,1035166,ANKRD43,0.431227928646585,1.73802269016207e-27
5287,1050120,SLC30A3,0.429811704124425,2.67936270307958e-27
27460,1016562,KIAA1239,0.425803647364037,9.02045252826849e-27
16680,1034277,C4orf45,0.425576136071716,9.6592298270371e-27
5592,1049060,PKD2L1,0.424952816271077,1.16475763600551e-26
2288,1054196,MET,0.420653352305619,4.19151513126902e-26
27591,1016087,LY86-AS1,0.417784466656404,9.75047130496376e-26
26800,1017474,PCDH19,0.412310037746137,4.774654738439271e-25
31011,1010261,LOC100129291,0.409215114834993,1.15713991335758e-24
31181,1010994,GRM1,0.406536172883752,2.47131417415864e-24
32220,1026698,EPHA3,0.405945164156369,2.91895860407774e-24
29152,1013661,NR2F2,0.402845092571388,6.95196433896538e-24
21054,1027101,CAMK2D,0.40167271337331,9.62954267729284e-24
13189,1040632,MKL2,0.394758608170028,6.40784905812133e-23
33213,1060169,A_32_P102581,0.394376063892171,7.107049441607899e-23
3253,1052705,PKIB,0.393660259448678,8.62365247758317e-23
26805,1017465,NELL1,0.391575972874642,1.51050207054803e-22
10450,1042823,NECAB2,0.389928235087485,2.34606521218809e-22
31668,1058708,C1R,0.388118769814761,3.79390485976796e-22
30985,1010367,PYDC2,0.387450815409756,4.52706754317406e-22
12079,1041286,C21orf62,0.386674783527458,5.55574025741993e-22
18136,1032692,PYDC1,0.385658096553747,7.2591355832346e-22
6031,1048682,CPNE6,0.385478555354223,7.609444114525979e-22
8422,1045671,NPTXR,0.384979608309603,8.672961650451379e-22
15020,1036889,C5orf30,0.384549878427807,9.70559285544868e-22
8530,1045944,RFTN1,0.384215047686015,1.05934600030789e-21
17651,1033227,ATOH7,0.382291769520635,1.7480490483368702e-21
11619,1041566,SCN3B,0.381313373565852,2.2524432501673902e-21
23240,1023401,C6orf173,0.378871055663586,4.2254383378830006e-21
24537,1021142,IQCJ,0.378766598758164,4.34016025415803e-21
2990,1053610,NPTX2,0.375671203088956,9.55769641182176e-21
14907,1037497,KIRREL3,0.372213039957676,2.2858350346347102e-20
34295,1063441,AGBL1,0.371872462488193,2.48939735259506e-20
8810,1045067,ERC2,0.371787386791892,2.54297575737008e-20
16472,1035237,ARL 9.00,0.370539403881966,3.472856371913e-20
31513,1059037,ASCL2,0.370254342264904,3.7283724695327005e-20
33633,1061426,A_32_P106512,0.368303716405867,6.0489202699585e-20
3453,1052425,PTPRR,0.36738575618698,7.58721896628239e-20
261,1058598,CAMK4,0.367349407415171,7.655484344422601e-20
33645,1061472,A_32_P1948,0.366183486960421,1.01973452167156e-19
2402,1054447,MARCKS,0.366146134846747,1.02912404869529e-19
9023,1044888,KCTD9P2,0.366025173729895,1.0601197872328501e-19
30845,1010514,ABLIM2,0.365881426138672,1.09815265282621e-19
34773,1064884,A_23_P58137,0.364239450454511,1.64047817886443e-19
27883,1015803,LRCOL1,0.362545248270844,2.4761120843231503e-19
24706,1020966,STX1A,0.362206583853978,2.68771930542929e-19
28117,1015288,AC092324.1,0.360777769089123,3.79462792263544e-19
26356,1018371,GLRA2,0.359767757195439,4.837218066404931e-19
32823,1055345,HTR1D,0.357105473236718,9.13461316471631e-19
27365,1016657,RP4-725G10.1,0.355903001834948,1.21490376574455e-18
21990,1025291,SYTL2,0.355387805530744,1.3722848383896099e-18
15779,1035969,HRASLS5,0.355303337516431,1.39993714148417e-18
20586,1028126,AKAP14,0.355126481864161,1.45962403389525e-18
2730,1053585,NPY1R,0.354921710722013,1.53186794080051e-18
10772,1042989,GPR88,0.352158678588888,2.9297057420401298e-18
17204,1033980,EXD1,0.351012454382415,3.82677563208109e-18
17329,1033144,RSPH9,0.350934380700943,3.89688462043674e-18
4503,1050755,TLL1,0.350197735992256,4.62383129687082e-18
16683,1034273,RASGEF1B,0.349178517267976,5.8540888177636294e-18
16275,1035021,PTCHD1,0.348751880508423,6.46005483407886e-18
20510,1027786,PTGER3,0.348665597332382,6.5899098195847195e-18
27528,1016183,HILS1,0.348052031675549,7.59041095161281e-18
32203,1026722,KIRREL2,0.347702904214581,8.224971782224709e-18
35633,1067442,A_32_P323,0.344387019083081,1.7544325032422998e-17
12408,1039853,SUSD1,0.34346206798225,2.16377307194316e-17
22225,1025052,EPHA5,0.341922815393341,3.06267658535019e-17
1568,1055591,ONECUT1,0.341535544881919,3.34142992872957e-17
28964,1013894,CYP1B1-AS1,0.341431254381417,3.42066942771223e-17
293,1058066,COL10A1,0.339249373792116,5.57420495819474e-17
5628,1049631,ENC1,0.339237679310989,5.5887551563006e-17
25412,1020356,TP53I11,0.338205372494874,7.03176103659854e-17
22442,1024500,TPO,0.337399987977841,8.40672150678446e-17
1863,1054864,KCNA4,0.337153542414054,8.878001383029481e-17
4970,1050518,TYRP1,0.336718454469474,9.7742703214587e-17
2072,1055031,IL13RA2,0.336531063405169,1.01871756921517e-16
11341,1041922,STYK1,0.335500497318977,1.27837565297998e-16
17084,1033509,LIPH,0.335326430551434,1.32824028347501e-16
256,1058620,CALB1,0.335240196450532,1.35364725505646e-16
32364,1030267,DRD2,0.333968795191608,1.78866119853392e-16
2710,1053675,NNMT,0.333793687367837,1.85845594167793e-16
31563,1058976,ATP2B4,0.333284737849827,2.07687272958051e-16
27451,1016970,DACT1,0.3328354790153,2.29051459333219e-16
