probe_id,r,p,gene_symbol
1030058,0.5112510797879738,1.118907921976979e-39,KLK8
1031532,0.5023068056854296,3.774471463304704e-38,KCTD4
1036268,0.49680064123689927,3.1282455614612782e-37,SLC22A9
1053623,0.4919037601435034,1.9869755276013967e-36,NPPA
1054175,0.48853791650278017,6.959433395011805e-36,MGP
1022660,0.4777400643065035,3.5376576621920763e-34,SLC22A10
1041221,0.47551910347983806,7.801322887769117e-34,CYP26B1
1010756,0.46865898906176845,8.654955131076011e-33,PTPN3
1055289,0.4470725056086891,1.1896860063196673e-29,HTR2C
1052927,0.44434894968202715,2.8554432806902764e-29,PNMT
1025161,0.4377925532104258,2.2753230413225024e-28,GABRE
1035166,0.4312279286465846,1.73802269016207e-27,ANKRD43
1050120,0.4298117041244251,2.6793627030795825e-27,SLC30A3
1016562,0.42580364736403664,9.020452528268492e-27,KIAA1239
1034277,0.42557613607171557,9.659229827037105e-27,C4orf45
1049060,0.42495281627107667,1.1647576360055135e-26,PKD2L1
1054196,0.4206533523056191,4.191515131269015e-26,MET
1016087,0.4177844666564042,9.750471304963761e-26,LY86-AS1
1017474,0.4123100377461372,4.774654738439266e-25,PCDH19
1010261,0.40921511483499345,1.1571399133575806e-24,LOC100129291
1010994,0.4065361728837516,2.471314174158638e-24,GRM1
1026698,0.40594516415636883,2.9189586040777367e-24,EPHA3
1013661,0.4028450925713877,6.951964338965375e-24,NR2F2
1027101,0.40167271337330973,9.62954267729284e-24,CAMK2D
1040632,0.3947586081700281,6.407849058121329e-23,MKL2
1060169,0.39437606389217095,7.107049441607895e-23,A_32_P102581
1052705,0.3936602594486775,8.623652477583169e-23,PKIB
1017465,0.39157597287464163,1.5105020705480337e-22,NELL1
1042823,0.3899282350874854,2.3460652121880894e-22,NECAB2
1058708,0.38811876981476146,3.7939048597679617e-22,C1R
1010367,0.38745081540975573,4.52706754317406e-22,PYDC2
1041286,0.38667478352745815,5.555740257419925e-22,C21orf62
1032692,0.3856580965537465,7.259135583234605e-22,PYDC1
1048682,0.38547855535422276,7.609444114525983e-22,CPNE6
