,probe_id,r,p,gene_symbol
1041,1057242,0.480783078010851,7.084530849861715e-22,EPHA3
2288,1054196,0.48023100598516183,8.008023073366817e-22,MET
15372,1036268,0.444571112202955,1.3939064919585324e-18,SLC22A9
23455,1022660,0.40111294693383454,4.082202335961857e-15,SLC22A10
12538,1040515,0.398549459287405,6.310889689656017e-15,TSHZ3
29134,1013739,0.3617247413280515,2.204516013682815e-12,NELL1
36005,1068546,0.3461626760287164,2.110223702479157e-11,A_24_P38316
33557,1061237,0.3369759162105784,7.56080433438536e-11,SATB2
5971,1049164,0.3338218101439292,1.1606088575275239e-10,CACNA1G
30985,1010367,0.3322752848713745,1.4294621719322152e-10,PYDC2
15418,1036850,0.3314174598087615,1.6037844732414764e-10,C6orf142
34773,1064884,0.3310208986826558,1.6912024454635403e-10,A_23_P58137
31036,1058723,0.31917540598353417,7.971939374551908e-10,BUB1B
24643,1021485,0.3187621741961039,8.404863118479989e-10,ZBTB8A
30780,1010756,0.3174569237486474,9.92760104890412e-10,PTPN3
34252,1063300,0.3127459893139624,1.7986662350354832e-09,A_24_P282083
16126,1035723,0.3125117088417279,1.8521191241776211e-09,NOXO1
28802,1014218,0.31030628806482635,2.436972817743083e-09,KIAA1875
18806,1031108,0.30602208131922626,4.1264425844865615e-09,C5orf40
32822,1055346,0.305118558787645,4.606215366395146e-09,HTR1D
34531,1064160,0.3032974157975647,5.742917105738287e-09,A_32_P230326
15435,1036827,0.3032270101433565,5.791919365340348e-09,N4BP2L1
24758,1020541,0.30313943635025886,5.853436019755161e-09,EXPH5
16472,1035237,0.2998527831669818,8.679907940333207e-09,ARL9
6099,1048464,0.29696354766604227,1.2222807103097101e-08,IGDCC3
4750,1050848,0.2926321774416382,2.0275244244333436e-08,NR2F1
9338,1044484,0.2912215589156144,2.3864903715234056e-08,PCDH11X
24996,1020202,0.2878652972830684,3.504695228799933e-08,AC079061.1
135,1058384,0.28766963203321205,3.583543957751529e-08,CDH12
12011,1040894,0.2869039267298223,3.908900044045303e-08,SLC17A6
7104,1047329,0.2866573069544596,4.019634273457194e-08,UNC13B
28964,1013894,0.2861821199125501,4.2415981199895346e-08,CYP1B1-AS1
27335,1016771,0.28446518547663024,5.146490595710965e-08,AF205589.3
23595,1022399,0.28408752093130996,5.3691865839497486e-08,COL5A1
32362,1030058,0.28273949831143,6.242423063435964e-08,KLK8
15020,1036889,0.282069130254133,6.726199360787273e-08,C5orf30
